microcanonical number of states:
    E, kcal/mol          rxn_2          rxn_4          rxn_7          rxn_1          rxn_5
              0              0    2.30278e+07    3.78148e+06              0     0.00122647
              1    3.65453e-07    9.10747e+07    1.40755e+07              0         2.5205
              2    1.66608e-05    3.44336e+08    5.10844e+07              0        2826.75
              3    0.000280902    1.23399e+09    1.80332e+08              0    1.62427e+06
              4     0.00296436    4.17114e+09    6.15913e+08              0    1.38647e+08
              5      0.0235848    1.32953e+10    2.02203e+09              0    2.55681e+09
              6        0.15468    4.00691e+10    6.35034e+09              0    2.31061e+10
              7       0.879465    1.14628e+11     1.9043e+10              0    1.41873e+11
              8         4.4739    3.12608e+11    5.45507e+10              0    6.82769e+11
              9        20.8006    8.16108e+11    1.49555e+11              0    2.77535e+12
             10        89.7345    2.04749e+12    3.93415e+11              0     9.9522e+12
             11        363.257     4.9539e+12    9.95802e+11              0    3.23581e+13
             12        1391.79    1.15953e+13    2.43221e+12              0    9.71754e+13
             13        5081.38    2.63287e+13    5.74792e+12              0    2.73146e+14
             14        17774.4    5.81379e+13    1.31763e+13              0    7.25756e+14
             15        59833.8    1.25117e+14    2.93661e+13              0    1.83677e+15
             16         194556    2.62931e+14    6.37642e+13              0     4.4545e+15
             17         612977    5.40479e+14    1.35146e+14              0    1.04025e+16
             18    1.87627e+06    1.08842e+15    2.80067e+14              0     2.3486e+16
             19    5.59229e+06    2.15028e+15    5.68352e+14              0    5.14348e+16
             20    1.62624e+07     4.1726e+15    1.13102e+15              0    1.09574e+17
             21      4.622e+07    7.96191e+15    2.20987e+15              0    2.27618e+17
             22     1.2858e+08    1.49543e+16    4.24417e+15              0    4.62013e+17
             23    3.50569e+08    2.76726e+16    8.02044e+15    1.83503e-21    9.17991e+17
             24    9.37768e+08    5.04929e+16    1.49275e+16    1.21853e-14    1.78832e+18
             25     2.4632e+09    9.09156e+16    2.73863e+16    1.33756e-10    3.42044e+18
             26    6.35647e+09     1.6165e+17    4.95647e+16     2.5374e-07    6.43114e+18
             27    1.61189e+10    2.84003e+17    8.85555e+16    0.000186742    1.18999e+19
             28     4.0161e+10    4.93325e+17    1.56296e+17      0.0739507    2.16911e+19
             29    9.82825e+10      8.477e+17    2.72669e+17        18.6987    3.89841e+19
             30    2.36134e+11    1.44168e+18    4.70453e+17        3338.43    6.91379e+19
             31     5.5676e+11    2.42781e+18    8.03189e+17         382847    1.21084e+20
             32    1.28786e+12    4.05013e+18    1.35752e+18    1.23788e+07     2.0955e+20
             33    2.92203e+12    6.69584e+18    2.27245e+18    1.37117e+08     3.5858e+20
             34    6.50317e+12    1.09745e+19    3.76916e+18     9.0203e+08    6.07056e+20
             35    1.41991e+13    1.78387e+19    6.19672e+18    4.48183e+09    1.01728e+21
             36    3.04247e+13    2.87659e+19    1.01019e+19    1.85993e+10    1.68819e+21
             37    6.40041e+13    4.60326e+19    1.63348e+19    6.77868e+10     2.7757e+21
             38    1.32259e+14    7.31225e+19     2.6208e+19    2.23531e+11    4.52342e+21
             39    2.68614e+14    1.15332e+20    4.17339e+19    6.80109e+11    7.30919e+21
             40     5.3651e+14    1.80666e+20    6.59784e+19    1.93573e+12    1.17148e+22
             41     1.0545e+15    2.81146e+20    1.03582e+20    5.20628e+12    1.86297e+22
             42    2.04084e+15    4.34725e+20    1.61527e+20    1.33348e+13    2.94046e+22
             43    3.89168e+15    6.68066e+20    2.50256e+20    3.27232e+13    4.60777e+22
             44     7.3164e+15    1.02055e+21      3.853e+20    7.73134e+13    7.17048e+22
             45     1.3569e+16    1.55003e+21    5.89626e+20    1.76572e+14    1.10841e+23
             46     2.4839e+16    2.34108e+21    8.97027e+20    3.91118e+14    1.70234e+23
             47    4.49055e+16    3.51674e+21    1.35696e+21    8.42617e+14    2.59829e+23
             48    8.02177e+16    5.25512e+21    2.04143e+21    1.76985e+15      3.942e+23
             49    1.41665e+17    7.81287e+21    3.05481e+21    3.63182e+15    5.94594e+23
             50    2.47446e+17    1.15582e+22    4.54762e+21    7.29422e+15    8.91826e+23
             51    4.27683e+17    1.70169e+22      6.736e+21    1.43611e+16    1.33038e+24
             52     7.3176e+17    2.49368e+22    9.92888e+21    2.77559e+16    1.97415e+24
             53    1.23993e+18    3.63772e+22    1.45659e+22    5.27259e+16    2.91449e+24
             54    2.08148e+18     5.2832e+22    2.12704e+22    9.85537e+16    4.28147e+24
             55    3.46299e+18    7.64006e+22    3.09217e+22    1.81441e+17    6.25939e+24
             56    5.71188e+18    1.10022e+23    4.47566e+22    3.29305e+17    9.10839e+24
             57    9.34325e+18    1.57792e+23    6.45069e+22    5.89681e+17    1.31941e+25
             58    1.51614e+19    2.25407e+23    9.25888e+22    1.04259e+18    1.90283e+25
             59    2.44134e+19    3.20748e+23    1.32361e+23    1.82128e+18    2.73248e+25
             60    3.90195e+19    4.54693e+23    1.88476e+23    3.14541e+18     3.9075e+25
             61    6.19178e+19    6.42199e+23    2.67353e+23    5.37352e+18    5.56512e+25
             62    9.75739e+19    9.03766e+23    3.77827e+23    9.08552e+18    7.89461e+25
             63    1.52735e+20     1.2674e+24    5.32005e+23     1.5211e+19    1.11561e+26
             64    2.37533e+20    1.77126e+24    7.46433e+23    2.52276e+19    1.57057e+26
             65      3.671e+20    2.46712e+24    1.04365e+24    4.14653e+19    2.20297e+26
             66    5.63902e+20    3.42509e+24    1.45427e+24    6.75692e+19    3.07898e+26
             67    8.61125e+20    4.73981e+24    2.01972e+24      1.092e+20    4.28832e+26
             68    1.30752e+21    6.53863e+24    2.79593e+24    1.75088e+20    5.95232e+26
             69    1.97437e+21    8.99245e+24    3.85818e+24    2.78599e+20    8.23452e+26
             70    2.96533e+21      1.233e+25    5.30751e+24    4.40069e+20    1.13547e+27
             71    4.43052e+21    1.68567e+25     7.2791e+24    6.90238e+20    1.56075e+27
             72    6.58621e+21    2.29789e+25    9.95343e+24    1.07529e+21    2.13865e+27
             73     9.7427e+21    3.12363e+25    1.35707e+25    1.66421e+21    2.92163e+27
             74    1.43431e+22    4.23437e+25    1.84499e+25    2.55943e+21    3.97941e+27
             75    2.10178e+22    5.72455e+25    2.50133e+25    3.91223e+21    5.40438e+27
             76    3.06594e+22    7.71863e+25    3.38188e+25    5.94485e+21    7.31873e+27
             77    4.45272e+22    1.03802e+26    4.56017e+25    8.98206e+21    9.88356e+27
             78    6.43903e+22     1.3924e+26    6.13282e+25    1.34961e+22    1.33108e+28
             79    9.27255e+22    1.86309e+26    8.22657e+25    2.01705e+22    1.78785e+28
             80    1.32986e+23    2.48677e+26    1.10072e+26    2.99893e+22    2.39506e+28
             81     1.8997e+23    3.31123e+26    1.46913e+26    4.43639e+22    3.20027e+28
             82    2.70322e+23     4.3986e+26    1.95606e+26    6.53084e+22     4.2654e+28
             83    3.83206e+23    5.82947e+26    2.59817e+26    9.56856e+22    5.67099e+28
             84    5.41225e+23    7.70817e+26    3.44296e+26    1.39547e+23     7.5215e+28
             85    7.61652e+23    1.01695e+27    4.55194e+26    2.02604e+23    9.95213e+28
             86    1.06808e+24    1.33872e+27    6.00451e+26    2.92874e+23    1.31375e+29
             87    1.49265e+24     1.7585e+27    7.90302e+26     4.2157e+23    1.73027e+29
             88    2.07896e+24    2.30498e+27    1.03791e+27    6.04317e+23    2.27372e+29
             89    2.88607e+24    3.01499e+27    1.36017e+27    8.62804e+23    2.98125e+29
             90    3.99365e+24     3.9356e+27    1.77874e+27    1.22703e+24    3.90048e+29
             91     5.5089e+24    5.12693e+27    2.32129e+27    1.73836e+24    5.09226e+29
             92    7.57566e+24    6.66561e+27    3.02316e+27     2.4536e+24    6.63426e+29
             93    1.03864e+25    8.64914e+27    3.92937e+27    3.45056e+24    8.62542e+29
             94    1.41981e+25    1.12013e+28    5.09714e+27     4.8354e+24    1.11915e+30
             95    1.93524e+25    1.44792e+28    6.59917e+27    6.75259e+24    1.44921e+30
             96    2.63034e+25    1.86814e+28    8.52751e+27    9.39806e+24    1.87295e+30
             97    3.56517e+25    2.40591e+28    1.09987e+28    1.30368e+25    2.41592e+30
             98    4.81912e+25    3.09288e+28    1.41597e+28    1.80259e+25    3.11041e+30
