microcanonical number of states:
    E, kcal/mol          rxn_1          rxn_2          rxn_3          rxn_4         rxn_24     rxn_eor2_1     rxn_eor2_3     rxn_eor2_6     rxn_eor2_8     rxn_eor5_1         rxn_21         rxn_31     rxn_eor5_4
              0              0              0              0              0    1.13378e+10              0              0              0              0              0              0              0              0
              1              0              0     2.3393e-07              0    4.05943e+10              0              0              0              0              0              0              0              0
              2              0              0    7.37682e-06    9.74357e-28    1.31593e+11              0              0              0              0              0              0              0              0
              3              0              0    0.000103072     1.8416e-20    3.93822e+11              0              0              0              0              0              0              0              0
              4              0    2.43222e-37    0.000964701    1.17301e-16    1.10323e+12              0              0              0              0              0    1.97949e-25      2.318e-18              0
              5              0    1.39292e-34     0.00705036    1.41829e-13     2.9224e+12              0              0        1.15721    3.66808e-11              0    6.13306e-17    8.92206e-11              0
              6              0     3.7359e-32      0.0433812    6.89336e-11    7.37682e+12              0              0        134.208    1.50106e-08              0    4.79876e-12    1.10861e-06              0
              7     4.9314e-11    6.59821e-30       0.234631    1.81922e-08    1.78516e+13    5.15899e-28              0        3551.76    1.08054e-06    3.74993e-16    4.40592e-08     0.00222811              0
              8    4.27316e-09    8.35957e-28        1.14641    3.05943e-06    4.16173e+13    5.40438e-26              0          51681    3.79221e-05    2.87974e-13    0.000121038        1.71092              0
              9    1.25995e-07    8.04407e-26        5.15544    0.000361789    9.38385e+13    1.95253e-24    7.61094e-36         531897    0.000872625    2.55383e-11       0.147369        702.477              0
             10     2.2681e-06    6.13277e-24        21.6264      0.0321424    2.05322e+14    5.66052e-23    5.38246e-32    4.28023e+06       0.015074    9.58825e-10        98.4409         177269              0
             11    3.00861e-05    3.82643e-22        85.4773        2.24926    4.37164e+14    1.54449e-21    1.31227e-28    2.78333e+07       0.210737    2.18232e-08        40673.9    1.48568e+07              0
             12    0.000321721    2.00425e-20        320.793        128.424    9.07904e+14    4.09152e-20     1.5268e-25    1.48373e+08        2.49857    3.54449e-07    6.08423e+06    3.15511e+08              0
             13     0.00292026    8.99565e-19        1150.18        6141.73    1.84294e+15    1.05816e-18    1.01637e-22    6.67265e+08        25.9266    4.49735e-06    1.69036e+08    3.22301e+09              0
             14      0.0232581    3.51815e-17        3959.39         244055    3.66294e+15    2.67492e-17    4.34912e-20    2.62014e+09        240.774    4.71626e-05    1.93595e+09    2.18159e+10              0
             15       0.166292    1.21577e-15        13139.5    6.04624e+06    7.13956e+15    6.61311e-16    1.29638e-17    9.23753e+09        2034.58    0.000424536    1.38705e+10    1.13956e+11              0
             16        1.08529    3.75606e-14        42179.6    7.19484e+07    1.36658e+16     1.5997e-14    2.85359e-15    2.98347e+10        15843.1     0.00336945    7.45411e+10    4.97625e+11              0
             17        6.54741    1.04784e-12         131355    5.23809e+08    2.57186e+16    3.78792e-13    4.84736e-13    8.95708e+10         114817      0.0240513     3.2983e+11     1.9023e+12              0
             18        36.8738    2.66238e-11         397816    2.82203e+09    4.76411e+16    8.78366e-12    6.57573e-11    2.52749e+11         780390       0.156754    1.26714e+12    6.55358e+12              0
             19        195.393    6.20707e-10    1.17418e+06    1.24479e+10    8.69487e+16    1.99545e-10    7.32061e-09    6.76102e+11    4.99938e+06       0.943934    4.36709e+12     2.0752e+13              0
             20        980.437     1.3365e-08    3.38384e+06    4.75812e+10    1.56485e+17    4.44292e-09    6.83799e-07    1.72615e+12    3.01543e+07        5.30172    1.37968e+13    6.12558e+13              0
             21        4683.13    2.67303e-07     9.5369e+06    1.63057e+11    2.77943e+17    9.69896e-08    5.45786e-05    4.22917e+12     1.6875e+08        27.9894    4.05675e+13    1.70338e+14              0
             22        21384.3    4.99106e-06    2.63234e+07    5.12132e+11     4.8756e+17     2.0767e-06     0.00377984    9.98814e+12    8.53794e+08        139.779    1.12262e+14     4.4985e+14              0
